label,description,date,value,unit,fetched_at
corn_cash_iowa,Iowa Corn — Daily Cash Price,04/09/2026,4.05,$ / BU,2026-04-10 16:53:53
soybean_cash_iowa,Iowa Soybeans — Daily Cash Price,04/09/2026,10.92,$ / BU,2026-04-10 16:53:53
