commodity,week_ending,category,value,unit,fetched_at
corn,2026-04-05,"CORN - PROGRESS, MEASURED IN PCT PLANTED",0,PCT PLANTED,2026-04-11 00:53:05
soybeans,2025-11-16,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",99,PCT HARVESTED,2026-04-11 00:53:06
