label,description,date,value,unit,fetched_at
corn_cash_iowa,Iowa Corn — Daily Cash Price,03/30/2026,4.14,$ / BU,2026-03-31 09:07:49
soybean_cash_iowa,Iowa Soybeans — Daily Cash Price,03/30/2026,10.81,$ / BU,2026-03-31 09:07:49
